Date : 2022-12-10 00:46:55
Directory : /Users/maciejfratczak/sps
Total : 489 files,  21437 codes, 310 comments, 2466 blanks, all 24213 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        324 |     17,992 |        224 |      2,074 |     20,290 |
| HTML               |         55 |      1,072 |          0 |         73 |      1,145 |
| JSON               |         21 |        907 |          8 |         18 |        933 |
| SCSS               |         57 |        723 |          9 |        180 |        912 |
| Handlebars         |          2 |        210 |          0 |         26 |        236 |
| YAML               |          5 |        144 |          0 |          7 |        151 |
| SQL                |         10 |         89 |         61 |         38 |        188 |
| JavaScript         |          3 |         82 |          2 |          4 |         88 |
| Prisma             |          1 |         79 |          0 |         11 |         90 |
| JSON with Comments |          2 |         55 |          0 |          2 |         57 |
| Markdown           |          1 |         51 |          2 |         21 |         74 |
| Docker             |          1 |         13 |          1 |          6 |         20 |
| Shell Script       |          5 |         12 |          3 |          4 |         19 |
| XML                |          2 |          8 |          0 |          2 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        489 |     21,437 |        310 |      2,466 |     24,213 |
| .github                                                                                                                                  |          1 |         85 |          0 |          3 |         88 |
| .github/workflows                                                                                                                        |          1 |         85 |          0 |          3 |         88 |
| aio                                                                                                                                      |          4 |         23 |          1 |          3 |         27 |
| aio/dev                                                                                                                                  |          4 |         23 |          1 |          3 |         27 |
| api                                                                                                                                      |        162 |     10,538 |        216 |      1,039 |     11,793 |
| api/prisma                                                                                                                               |         12 |        298 |         62 |         52 |        412 |
| api/prisma/migrations                                                                                                                    |         10 |         89 |         61 |         38 |        188 |
| api/prisma/migrations/20221020123109_init                                                                                                |          1 |         19 |          4 |          6 |         29 |
| api/prisma/migrations/20221021164801_role                                                                                                |          1 |          2 |          2 |          2 |          6 |
| api/prisma/migrations/20221024210303_parking_lots_and_drivers                                                                            |          1 |         22 |          6 |          9 |         37 |
| api/prisma/migrations/20221024220538_implicit_many_to_many                                                                               |          1 |         11 |         14 |          8 |         33 |
| api/prisma/migrations/20221025103053_parking_lot_operation_hours                                                                         |          1 |          4 |         10 |          1 |         15 |
| api/prisma/migrations/20221027162050_created_at_parking_lot                                                                              |          1 |          1 |          1 |          1 |          3 |
| api/prisma/migrations/20221027182320_change_hours_format                                                                                 |          1 |          4 |          8 |          1 |         13 |
| api/prisma/migrations/20221109195117_reservations                                                                                        |          1 |         22 |          6 |          8 |         36 |
| api/prisma/migrations/20221110082739_time_of_leave_optional                                                                              |          1 |          1 |          1 |          1 |          3 |
| api/prisma/migrations/20221118164327_rrule_operation_time                                                                                |          1 |          3 |          9 |          1 |         13 |
| api/scripts                                                                                                                              |          2 |          5 |          2 |          2 |          9 |
| api/src                                                                                                                                  |         95 |      4,442 |         37 |        547 |      5,026 |
| api/src/application                                                                                                                      |         15 |        463 |          0 |         81 |        544 |
| api/src/application/driver                                                                                                               |          4 |         97 |          0 |         16 |        113 |
| api/src/application/parking-lot                                                                                                          |          4 |        136 |          0 |         24 |        160 |
| api/src/application/reservation                                                                                                          |          4 |        179 |          0 |         33 |        212 |
| api/src/domain                                                                                                                           |         19 |        748 |         13 |        108 |        869 |
| api/src/domain/driver                                                                                                                    |          3 |         66 |          0 |         12 |         78 |
| api/src/domain/parking-lot                                                                                                               |          4 |        205 |          0 |         30 |        235 |
| api/src/domain/reservation                                                                                                               |          6 |        318 |         13 |         37 |        368 |
| api/src/domain/time                                                                                                                      |          2 |         94 |          0 |         20 |        114 |
| api/src/i18n                                                                                                                             |          8 |         74 |          0 |          8 |         82 |
| api/src/i18n/en                                                                                                                          |          4 |         37 |          0 |          4 |         41 |
| api/src/i18n/pl                                                                                                                          |          4 |         37 |          0 |          4 |         41 |
| api/src/infrastructure                                                                                                                   |         36 |      1,945 |         16 |        247 |      2,208 |
| api/src/infrastructure/email                                                                                                             |          4 |        305 |          0 |         35 |        340 |
| api/src/infrastructure/email/templates                                                                                                   |          3 |        241 |          0 |         30 |        271 |
| api/src/infrastructure/security                                                                                                          |         21 |      1,029 |         16 |        151 |      1,196 |
| api/src/infrastructure/security/authentication                                                                                           |          1 |        292 |          2 |         40 |        334 |
| api/src/infrastructure/security/authorization                                                                                            |         12 |        291 |          0 |         37 |        328 |
| api/src/infrastructure/security/authorization/policy                                                                                     |          5 |        143 |          0 |         12 |        155 |
| api/src/infrastructure/security/csrf                                                                                                     |          1 |         13 |          0 |          4 |         17 |
| api/src/infrastructure/security/user                                                                                                     |          4 |        195 |          0 |         32 |        227 |
| api/src/infrastructure/web                                                                                                               |         10 |        519 |          0 |         56 |        575 |
| api/src/infrastructure/web/controller                                                                                                    |          5 |        356 |          0 |         38 |        394 |
| api/src/infrastructure/web/exception                                                                                                     |          1 |         77 |          0 |          7 |         84 |
| api/src/infrastructure/web/interceptor                                                                                                   |          2 |         58 |          0 |          5 |         63 |
| api/src/infrastructure/web/lang                                                                                                          |          1 |         13 |          0 |          3 |         16 |
| api/src/persistence                                                                                                                      |         12 |        962 |          2 |         65 |      1,029 |
| api/src/persistence/prisma                                                                                                               |         11 |        889 |          2 |         59 |        950 |
| api/src/persistence/prisma/driver                                                                                                        |          2 |        261 |          0 |         11 |        272 |
| api/src/persistence/prisma/parking-lot                                                                                                   |          2 |        102 |          0 |          8 |        110 |
